DATE,barley,maize,soy,wheat
1990-01-01,75.5686718942764,105.900512695313,209.8274827,167.918579101563
1990-02-01,73.8647012912272,106.294166564941,208.449456325,160.937271118164
1990-03-01,70.0445793762433,109.83731842041,218.2793778,156.528030395508
1990-04-01,68.7690824158012,118.498336791992,220.66795685,159.467529296875
1990-05-01,71.0260764087814,121.254096984863,228.31600323125,149.179290771484
1990-06-01,80.2318685405609,120.073066711426,221.05839765625,135.584136962891
1990-07-01,77.9935506085322,114.955192565918,222.4593911375,124.92847442627
1990-08-01,83.7762764196815,109.83731842041,222.71202930625,116.844856262207
1990-09-01,88.3859504253821,102.357360839844,226.91500975,114.272811889648
1990-10-01,88.1628374110534,99.9952697753906,224.802035975,114.640243530273
1990-11-01,91.4739658980174,99.9952697753906,211.84858805,112.803070068359
1990-12-01,89.8132705081484,102.357360839844,213.8696934,113.17049407959
1991-01-01,93.8846546938438,105.506813049316,207.50780496875,111.333320617676
1991-02-01,92.0363780002353,106.294166564941,210.12605508125,113.905372619629
1991-03-01,88.0936313727235,109.049957275391,213.31848285,119.416923522949
1991-04-01,85.1514851640752,110.231010437012,215.89079875,120.886665344238
1991-05-01,85.2979558684412,105.735160827637,210.654298525,122.036750793457
1991-06-01,71.2807629615729,105.113136291504,208.8628642375,120.151794433594
1991-07-01,72.271881513897,105.72989654541,199.10184408125,118.209587097168
1991-08-01,67.058534779335,110.118812561035,208.081982625,125.326843261719
1991-09-01,67.4261083743842,108.853126525879,216.23530534375,135.37287902832
1991-10-01,68.2080132829313,109.523323059082,205.7393377875,146.887191772461
1991-11-01,73.2991241263381,106.797866821289,205.67043646875,149.536529541016
1991-12-01,75.4342323470368,106.720680236816,204.15460745625,160.836669921875
1992-01-01,73.4190150532563,109.586357116699,208.61022606875,169.954772949219
1992-02-01,71.2807388449983,113.921257019043,211.1595748625,177.130599975586
1992-03-01,72.6449468693306,116.684593200684,216.14343691875,169.350738525391
1992-04-01,75.2280701754386,109.055137634277,211.2973775,159.931198120117
1992-05-01,84.7789824854045,109.177909851074,220.36938446875,149.689117431641
1992-06-01,84.8923214923717,110.201927185059,224.3886280625,148.665725708008
1992-07-01,77.3722794785143,102.394058227539,208.10494973125,136.31901550293
1992-08-01,77.0425728440675,97.5399322509766,202.86844950625,128.168487548828
1992-09-01,83.5719545119856,98.2166748046875,202.8914166125,138.735794067383
1992-10-01,82.2079695262572,94.5597686767578,197.67788349375,140.581283569336
1992-11-01,82.1175078864353,95.1726608276367,205.21109434375,147.574188232422
1992-12-01,79.5459222425515,94.0434188842773,208.90879845,147.827651977539
1993-01-01,75.0821853475266,94.09521484375,212.33089728125,155.650772094727
1993-02-01,74.8298467053559,94.2540740966797,210.03418665625,148.884384155273
1993-03-01,75.1603106138005,97.5351867675781,214.12233156875,147.899658203125
1993-04-01,77.4459921594795,100.487373352051,217.6822330375,141.992401123047
1993-05-01,77.4604624787348,99.2226715087891,221.494772675,136.580810546875
1993-06-01,75.3014189438963,92.7262115478516,221.9081805875,121.81778717041
1993-07-01,74.0274263719688,101.888687133789,258.8392874375,127.522399902344
1993-08-01,69.6930667132379,100.312896728516,246.64375401875,129.797012329102
1993-09-01,64.4094871894684,101.031677246094,236.0559180375,131.294311523438
1993-10-01,60.9484812837451,105.767631530762,226.088193925,135.956161499023
1993-11-01,63.8543989609838,115.92845916748,243.93363548125,146.501602172852
1993-12-01,68.3099120763508,121.229499816895,252.52333321875,158.645385742188
1994-01-01,74.6189348393757,126.716453552246,255.60092545625,153.207977294922
1994-02-01,72.2939594214993,123.64900970459,249.67541204375,147.037521362305
1994-03-01,68.29429967271,120.107292175293,250.54816208125,141.04377746582
1994-04-01,66.8947608266364,113.416732788086,242.7623130625,140.452667236328
1994-05-01,68.5543154708017,110.601257324219,250.22662259375,140.147354125977
1994-06-01,67.7820567904252,112.083099365234,249.606510725,139.304428100586
1994-07-01,64.3194050581631,98.7315521240234,223.24027275,137.600448608398
1994-08-01,66.1582981643959,96.1568756103516,214.0993644625,146.024124145508
1994-09-01,72.2699918249958,97.6050567626953,207.87527866875,158.785140991211
1994-10-01,80.1358586427625,96.1100006103516,198.711403275,167.188064575195
1994-11-01,83.9798961103662,95.605712890625,205.39483119375,161.986770629883
1994-12-01,86.486039792297,102.555236816406,206.3824167625,164.62174987793
1995-01-01,85.4540981230768,106.898773193359,202.50097580625,156.213088989258
1995-02-01,85.772325795603,106.977661132813,203.64933111875,154.420104980469
1995-03-01,90.8300850249922,109.627067565918,209.34517346875,150.385986328125
1995-04-01,93.3961304202462,109.640487670898,211.27441039375,148.978652954102
1995-05-01,100.794362305635,111.927581787109,211.64188409375,158.611557006836
1995-06-01,105.767961344493,120.007438659668,216.64871325625,169.98078918457
1995-07-01,112.969004893964,127.309562683105,226.91500975,190.08528137207
1995-08-01,104.869557165986,126.297080993652,218.922456775,184.393295288086
1995-09-01,104.821096740281,130.51301574707,232.58788499375,193.671279907227
1995-10-01,112.703721399374,140.816360473633,240.99384588125,203.791748046875
1995-11-01,125.760202246701,143.21223449707,249.7443133625,204.067321777344
1995-12-01,125.004179488569,148.188522338867,263.96095213125,208.924942016602
1996-01-01,124.933059695783,156.67073059082,270.11613660625,196.428301666667
1996-02-01,123.311523082515,164.71223449707,268.255801,206.166963968254
1996-03-01,124.470827779161,170.961151123047,265.775353525,205.257120793651
1996-04-01,132.687072327275,189.03303527832,290.41905853125,239.516215714286
1996-05-01,137.787852349087,203.998931884766,295.51775611875,248.59486826087
1996-06-01,138.136213841084,196.639312744141,284.60838065,215.2260275
